time,f0,intensity
8.53,163.39,0.05
8.54,164.24,0.05
8.55,166.87,0.05
8.56,158.56,0.04
8.57,154.91,0.03
8.58,155.71,0.02
8.59,156.74,0.01
8.6,157.77,0
8.61,158.8,0
8.62,159.83,0
8.63,160.86,0
8.64,161.89,0
8.65,162.91,0
8.66,163.94,0
8.67,164.97,0
8.68,166,0
8.69,167.03,0
8.7,168.06,0
8.71,169.09,0
8.72,170.12,0
8.73,171.15,0
8.74,172.18,0
8.75,173.2,0
8.76,174.23,0
8.77,175.26,0
8.78,176.29,0
8.79,177.32,0
8.8,178.35,0
8.81,179.38,0
8.82,180.41,0
8.83,181.44,0
8.84,182.47,0
8.85,183.5,0
8.86,184.52,0
8.87,185.55,0
8.88,186.58,0
8.89,187.61,0
8.9,188.64,0
8.91,189.67,0
8.92,190.7,0
8.93,191.73,0
8.94,192.76,0
8.95,193.79,0
8.96,194.82,0
8.97,195.84,0
8.98,196.87,0
8.99,197.9,0
9,198.93,0
9.01,199.96,0
9.02,200.99,0
9.03,202.02,0
9.04,203.05,0
9.05,204.08,0
9.06,205.11,0
9.07,206.13,0
9.08,207.16,0
9.09,208.19,0
9.1,209.22,0
9.11,210.25,0
9.12,211.28,0
9.13,212.31,0
9.14,213.34,0
9.15,214.37,0
9.16,215.4,0
9.17,216.43,0
9.18,217.45,0
9.19,218.48,0
9.2,219.51,0
9.21,220.54,0
9.22,221.57,0
9.23,222.6,0.01
9.24,223.63,0.01
9.25,224.66,0.02
9.26,225.69,0.03
9.27,226.72,0.02
9.28,227.74,0.01
9.29,228.77,0.04
9.3,228.97,0.08
9.31,222.25,0.1
9.32,213.13,0.1
9.33,205.34,0.1
9.34,201.35,0.09
9.35,198.34,0.08
9.36,195.62,0.08
9.37,193.93,0.07
9.38,192.39,0.07
9.39,191.8,0.06
9.4,192.72,0.06
9.41,194.54,0.06
9.42,193.93,0.06
9.43,192.88,0.07
9.44,200,0.09
9.45,201.72,0.11
9.46,203.36,0.12
9.47,206.63,0.13
9.48,209.55,0.13
9.49,212.29,0.13
9.5,214.95,0.11
9.51,220.41,0.1
9.52,228.13,0.09
9.53,232.47,0.07
9.54,231.74,0.03
9.55,231.01,0.02
9.56,230.28,0.03
9.57,229.55,0.03
9.58,228.82,0.02
9.59,227.4,0.06
9.6,221.79,0.1
9.61,211.43,0.11
9.62,201.61,0.12
9.63,194.43,0.11
9.64,187.93,0.07
9.65,186.86,0.03
9.66,195.31,0.01
9.67,203.76,0
9.68,212.22,0.01
9.69,220.67,0.02
9.7,225.64,0.06
9.71,218.55,0.09
9.72,218.09,0.09
9.73,219.22,0.1
9.74,219.19,0.09
9.75,216.78,0.06
9.76,208.11,0.01
9.77,199.44,0.01
9.78,190.77,0.01
9.79,182.1,0.02
9.8,173.44,0.02
9.81,164.77,0.03
9.82,156.1,0.04
9.83,147.43,0.04
9.84,138.76,0.03
9.85,130.09,0.03
9.86,121.42,0.03
9.87,142.7,0.06
9.88,230.08,0.09
9.89,230.17,0.09
9.9,228.07,0.08
9.91,225.85,0.06
9.92,229.52,0.04
9.93,233.19,0.03
9.94,236.86,0.04
9.95,240.53,0.04
9.96,244.21,0.04
9.97,247.88,0.03
9.98,251.55,0.03
9.99,255.22,0.03
10,257.36,0.11
10.01,254.86,0.15
10.02,250.3,0.15
10.03,244.72,0.13
10.04,241.98,0.12
10.05,241.4,0.12
10.06,242.53,0.11
10.07,244.56,0.1
10.08,247.9,0.1
10.09,251.33,0.09
10.1,254.16,0.07
10.11,256.94,0.06
10.12,259.48,0.03
10.13,214.04,0.01
10.14,104.27,0
10.15,105.93,0
10.16,107.6,0
10.17,109.26,0
10.18,110.93,0
10.19,112.59,0
10.2,114.25,0
10.21,115.92,0
10.22,117.58,0
10.23,119.25,0
10.24,120.91,0
10.25,122.57,0
10.26,124.24,0
10.27,125.9,0
10.28,127.57,0
10.29,129.23,0
10.3,130.89,0
10.31,132.56,0
10.32,134.22,0
10.33,135.89,0
10.34,137.55,0
10.35,139.22,0
10.36,140.88,0
10.37,142.54,0
10.38,144.21,0
10.39,145.87,0
10.4,147.54,0
10.41,149.2,0
10.42,150.86,0
10.43,152.53,0
10.44,154.19,0
10.45,155.86,0
10.46,157.52,0
10.47,159.19,0
10.48,160.85,0
10.49,162.51,0
10.5,164.18,0
10.51,165.84,0
10.52,167.51,0
10.53,169.17,0
10.54,170.83,0
10.55,172.5,0
10.56,174.16,0
10.57,175.83,0
10.58,177.49,0
10.59,179.15,0
10.6,180.82,0
10.61,182.48,0
10.62,184.15,0
10.63,185.81,0
10.64,187.48,0
10.65,189.14,0
10.66,190.8,0
10.67,192.47,0
10.68,194.13,0
10.69,195.8,0
10.7,197.46,0
10.71,199.12,0
10.72,200.79,0
10.73,202.45,0
10.74,204.12,0
10.75,205.78,0
10.76,207.45,0
10.77,209.11,0
10.78,210.77,0
10.79,212.44,0
10.8,214.1,0
10.81,180.12,0.01
10.82,145.65,0.05
10.83,228.88,0.07
10.84,319.08,0.08
10.85,326.64,0.09
10.86,335.59,0.1
10.87,343.58,0.11
10.88,350.41,0.12
10.89,356.51,0.13
10.9,277.08,0.13
10.91,188.32,0.14
10.92,191.85,0.13
10.93,193.28,0.1
10.94,194.89,0.05
10.95,202.99,0.02
10.96,217.35,0.01
10.97,231.72,0.01
10.98,246.08,0.01
10.99,260.45,0.02
11,274.81,0.02
11.01,289.18,0.03
11.02,303.54,0.03
11.03,317.91,0.07
11.04,318.35,0.11
11.05,303.79,0.15
11.06,290.08,0.18
11.07,276.99,0.19
11.08,263.71,0.19
11.09,255.49,0.17
11.1,247.55,0.15
11.11,242.31,0.14
11.12,240.24,0.13
11.13,237.51,0.13
11.14,236.92,0.13
11.15,239.17,0.12
11.16,243.87,0.12
11.17,247.48,0.11
11.18,250.99,0.1
11.19,258.23,0.09
11.2,266.88,0.08
11.21,273.36,0.06
11.22,281.54,0.03
11.23,299.7,0.01
11.24,308.86,0
11.25,305.77,0
11.26,302.69,0
11.27,299.6,0
11.28,296.52,0
11.29,293.43,0
11.3,290.35,0
11.31,287.26,0
11.32,284.17,0
11.33,281.09,0
11.34,278,0
11.35,274.92,0
11.36,271.83,0
11.37,268.74,0
11.38,265.66,0
11.39,262.57,0
11.4,259.49,0
11.41,256.4,0
11.42,253.32,0
11.43,250.23,0
11.44,247.14,0
11.45,244.06,0
11.46,240.97,0
11.47,237.89,0
11.48,234.8,0
11.49,231.72,0
11.5,228.63,0
11.51,225.54,0
11.52,222.46,0
11.53,219.37,0
11.54,216.29,0
11.55,213.2,0
11.56,210.12,0
11.57,207.03,0
11.58,203.94,0
11.59,200.86,0
11.6,197.77,0
11.61,194.69,0
11.62,191.6,0
11.63,188.51,0
11.64,185.43,0
11.65,182.34,0
11.66,179.26,0
11.67,176.17,0
11.68,173.09,0
11.69,170,0
11.7,166.91,0
11.71,163.83,0
11.72,160.74,0
11.73,157.66,0
11.74,154.57,0
11.75,151.49,0
11.76,148.4,0
11.77,145.31,0
11.78,142.23,0
11.79,139.14,0
11.8,136.06,0
11.81,132.97,0
11.82,129.89,0.01
11.83,134.15,0.02
11.84,232.83,0.03
11.85,284.82,0.05
11.86,292.94,0.06
11.87,294.67,0.07
11.88,294.37,0.08
11.89,292.99,0.09
11.9,290.89,0.09
11.91,289.57,0.09
11.92,288.67,0.09
11.93,289.25,0.09
11.94,291.63,0.08
11.95,295.83,0.08
11.96,300.96,0.07
11.97,305.19,0.07
11.98,311.41,0.07
11.99,318.71,0.06
12,324.1,0.06
12.01,328.85,0.06
12.02,334.03,0.06
12.03,338.22,0.06
12.04,341.32,0.06
12.05,341.97,0.06
12.06,336.26,0.05
12.07,331.93,0.05
12.08,332.8,0.03
12.09,337.89,0.02
12.1,192.81,0.03
12.11,306.24,0.11
12.12,355.1,0.16
12.13,349.48,0.18
12.14,346.04,0.18
12.15,344.11,0.18
12.16,342.66,0.17
12.17,338.27,0.16
12.18,334.97,0.16
12.19,331.23,0.15
12.2,326.68,0.14
12.21,324.57,0.14
12.22,320.62,0.14
12.23,318.95,0.13
12.24,317.49,0.13
12.25,314.63,0.13
12.26,313.02,0.13
12.27,309.4,0.13
12.28,305.05,0.13
12.29,304.16,0.13
